sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
646.465;646.465;645.889;8.92734e-16;-5.8129e-16;-1.53054e-15;2.16;2.16;-0.62701;4.11194e-18;-4.00914e-17;-7.09309e-17;0;0;0;0;0;0;1.85563;
659.766;659.766;659.188;7.1649e-16;4.37004e-17;3.96896e-16;2.2;2.2;-0.63101;5.75671e-17;-3.28955e-17;-2.87836e-17;0;0;0;0;0;0;1.88496;
673.082;673.082;672.503;-2.80494e-15;5.80125e-16;7.32193e-16;2.24;2.24;-0.634918;-1.76813e-16;1.43918e-17;2.87836e-17;0;0;0;0;0;0;1.91422;
686.414;686.414;685.834;1.24785e-15;-3.08554e-16;-1.17837e-15;2.28;2.28;-0.638738;-5.75671e-17;-1.43918e-17;-7.19589e-17;0;0;0;0;0;0;1.94343;
699.761;699.761;699.179;-6.13713e-18;1.66124e-16;1.25022e-15;2.32;2.32;-0.642472;-6.5791e-17;1.02798e-18;3.70074e-17;0;0;0;0;0;0;1.97258;
713.123;713.123;712.54;1.11624e-15;6.72568e-16;-3.48606e-16;2.36;2.36;-0.646123;2.46716e-17;5.44832e-17;1.02798e-18;0;0;0;0;0;0;2.00167;
726.498;726.498;725.914;8.56244e-17;-1.17126e-15;-2.3055e-16;2.4;2.4;-0.649695;2.46716e-17;-4.42033e-17;-1.54198e-17;0;0;0;0;0;0;2.03072;
739.887;739.887;739.301;-7.09387e-16;2.55026e-16;-1.07248e-16;2.44;2.44;-0.653189;-3.28955e-17;-1.64477e-17;-2.26157e-17;0;0;0;0;0;0;2.05971;
753.289;753.289;752.702;-3.48892e-18;3.78997e-16;3.25339e-16;2.48;2.48;-0.656609;-2.87836e-17;1.23358e-17;4.11194e-18;0;0;0;0;0;0;2.08865;
766.704;766.704;766.115;9.26903e-16;-8.07641e-16;-9.66331e-16;2.52;2.52;-0.659956;4.52313e-17;-5.44832e-17;-7.50429e-17;0;0;0;0;0;0;2.11754;
780.131;780.131;779.541;-1.34627e-16;9.06318e-16;1.16534e-15;2.56;2.56;-0.663234;2.87836e-17;2.26157e-17;2.36436e-17;0;0;0;0;0;0;2.14639;
793.569;793.569;792.978;-5.81027e-16;7.1908e-16;-2.46131e-16;2.6;2.6;-0.666444;-1.64477e-17;7.40149e-17;-3.08395e-18;0;0;0;0;0;0;2.17519;
807.02;807.02;806.427;-4.09787e-16;-4.25019e-16;1.36832e-16;2.64;2.64;-0.669588;-4.52313e-17;3.59794e-17;9.25186e-18;0;0;0;0;0;0;2.20395;
820.481;820.481;819.887;1.76625e-16;-1.29946e-15;-1.38582e-15;2.68;2.68;-0.672669;-2.87836e-17;-6.3735e-17;-1.00742e-16;0;0;0;0;0;0;2.23266;
833.953;833.953;833.358;-9.2884e-16;1.03671e-15;1.06918e-15;2.72;2.72;-0.675688;-1.02798e-16;2.56996e-17;-8.22387e-18;0;0;0;0;0;0;2.26134;
847.435;847.435;846.839;-2.31093e-16;-9.94286e-18;1.10911e-15;2.76;2.76;-0.678647;-1.15134e-16;1.85037e-17;7.19589e-17;0;0;0;0;0;0;2.28997;
860.928;860.928;860.331;1.14112e-15;-1.58897e-16;-1.65119e-15;2.8;2.8;-0.681549;-2.46716e-17;6.16791e-18;-6.3735e-17;0;0;0;0;0;0;2.31857;
874.43;874.43;873.832;1.25378e-15;-1.20205e-15;7.48097e-19;2.84;2.84;-0.684394;6.5791e-17;-8.63507e-17;-5.34552e-17;0;0;0;0;0;0;2.34713;
887.942;887.942;887.343;-2.23277e-15;1.09699e-15;4.50724e-16;2.88;2.88;-0.687185;-1.15134e-16;6.16791e-18;-1.85037e-17;0;0;0;0;0;0;2.37565;
901.464;901.464;900.863;9.37913e-16;3.6698e-16;4.21593e-16;2.92;2.92;-0.689923;-2.87836e-17;2.77556e-17;1.13078e-17;0;0;0;0;0;0;2.40414;
914.994;914.994;914.392;-1.68447e-15;1.36114e-16;-2.32785e-16;2.96;2.96;-0.69261;-1.64477e-16;3.59794e-17;-9.25186e-18;0;0;0;0;0;0;2.43259;
928.533;928.533;927.93;1.20129e-15;-1.41953e-15;-1.92539e-16;3;3;-0.695247;-6.16791e-17;-7.40149e-17;-2.26157e-17;0;0;0;0;0;0;2.46101;
942.08;942.08;941.476;1.22309e-15;-2.07574e-17;-4.84755e-16;3.04;3.04;-0.697835;2.46716e-17;-6.6819e-17;-5.85951e-17;0;0;0;0;0;0;2.4894;
955.636;955.636;955.031;5.29167e-16;1.53076e-15;1.8427e-15;3.08;3.08;-0.700376;5.75671e-17;5.03712e-17;8.53227e-17;0;0;0;0;0;0;2.51775;
969.2;969.2;968.593;-1.41271e-15;1.10767e-16;-9.01747e-16;3.12;3.12;-0.702871;-5.34552e-17;4.93432e-17;5.13992e-18;0;0;0;0;0;0;2.54608;
982.771;982.771;982.164;1.02019e-15;-1.85588e-15;-1.03286e-15;3.16;3.16;-0.705321;3.28955e-17;-9.25186e-17;-6.7847e-17;0;0;0;0;0;0;2.57437;
996.35;996.35;995.742;1.37431e-16;7.56339e-16;-2.46854e-16;3.2;3.2;-0.707729;3.70074e-17;-2.36436e-17;-8.01828e-17;0;0;0;0;0;0;2.60264;
