sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
35.7205;38.6067;36.0124;-6.95085e-18;-3.12966e-18;2.76383e-16;-0.0975524;0.465351;-0.157628;-2.98243e-18;-1.53945e-18;1.6581e-17;-0.787995;1.29281;-0.504818;-3.99993e-18;-1.67878e-18;2.31443e-16;11.6164;
38.3886;41.2134;38.5352;-1.54824e-18;-4.78826e-18;2.70309e-16;-0.0735439;0.467334;-0.168767;1.71535e-18;-2.21739e-18;-1.29215e-17;-0.740415;1.29711;-0.556691;-2.38992e-18;-2.63085e-18;2.0937e-16;12.0014;
40.993;43.7484;40.9906;-3.81894e-18;-2.17659e-18;2.74982e-16;-0.0496636;0.46877;-0.179617;-1.02162e-18;3.03761e-19;-2.25405e-17;-0.690126;1.29883;-0.608701;-2.5621e-18;-2.02886e-18;2.01193e-16;12.3863;
43.519;46.1979;43.3656;-4.56406e-18;-2.51681e-18;2.89808e-16;-0.0260501;0.469658;-0.190118;-1.4185e-18;-3.54439e-19;-1.36687e-17;-0.637484;1.29787;-0.660389;-2.92515e-18;-1.89041e-18;2.03078e-16;12.7718;
45.9535;48.5491;45.6479;-1.61977e-18;-1.35863e-18;3.20537e-16;-0.00283097;0.469999;-0.200215;8.92929e-19;3.59433e-19;4.72913e-18;-0.582894;1.2942;-0.71131;-1.94692e-18;-1.37873e-18;2.15581e-16;13.1583;
48.284;50.7906;47.8267;-2.92688e-18;-4.44199e-18;2.8964e-16;0.0198774;0.469793;-0.209859;-6.94347e-19;-2.14132e-18;-8.03377e-18;-0.5268;1.28784;-0.761041;-2.00814e-18;-2.33495e-18;2.09086e-16;13.5463;
50.4992;52.9118;49.8918;-4.08728e-18;-1.63481e-18;1.96328e-16;0.0419693;0.46904;-0.219004;-1.45844e-18;4.72478e-19;-8.02796e-18;-0.469669;1.27887;-0.809197;-2.48009e-18;-1.68478e-18;1.7007e-16;13.9362;
52.589;54.9035;51.8341;-5.39666e-18;-1.05842e-18;2.85489e-16;0.063349;0.46774;-0.227609;-2.04365e-18;4.25164e-19;3.00179e-18;-0.411979;1.26742;-0.855441;-3.19416e-18;-1.16803e-18;1.86541e-16;14.3282;
54.544;56.7573;53.6453;-4.60674e-18;1.56195e-18;1.51205e-16;0.0839304;0.465891;-0.235638;-1.00281e-18;1.89261e-18;1.78243e-18;-0.354201;1.25369;-0.899491;-3.21067e-18;7.28933e-20;1.42248e-16;14.7226;
56.3558;58.4659;55.3178;3.666e-18;3.83532e-19;1.59366e-16;0.103636;0.463495;-0.243056;4.77118e-18;2.16877e-19;1.4649e-17;-0.296787;1.23791;-0.941123;-3.75631e-20;1.80162e-19;1.2528e-16;15.1192;
58.0171;60.0229;56.8449;-1.16401e-18;-3.91801e-18;7.1145e-17;0.122398;0.460551;-0.249835;-7.86071e-19;-2.85786e-18;9.55712e-18;-0.240156;1.22033;-0.980177;-4.64199e-19;-1.42469e-18;8.364e-17;15.5182;
59.521;61.4223;58.2204;-6.03431e-19;-5.10924e-18;9.48231e-17;0.140154;0.457058;-0.255948;-1.0012e-19;-2.58231e-18;-7.21927e-18;-0.184685;1.20124;-1.01655;-4.40166e-19;-2.60302e-18;7.3965e-17;15.9194;
60.8618;62.6591;59.439;-6.92596e-19;-2.25548e-18;1.60393e-16;0.156851;0.453015;-0.261371;-1.79174e-19;2.26817e-19;-1.33125e-17;-0.130704;1.1809;-1.0502;-4.6337e-19;-2.03281e-18;9.47816e-17;16.3225;
62.0342;63.7289;60.4956;-3.88773e-18;2.37855e-18;1.25566e-16;0.17244;0.448422;-0.266084;-2.39684e-18;3.0714e-18;3.65202e-19;-0.0784887;1.15961;-1.08112;-1.70105e-18;4.14053e-21;9.06593e-17;16.7271;
63.0337;64.6279;61.3858;-4.42493e-18;7.34218e-18;1.28986e-16;0.186879;0.443279;-0.270068;-1.91336e-18;5.12618e-18;-1.51297e-17;-0.0282622;1.13764;-1.10937;-2.45937e-18;2.81928e-18;9.00746e-17;17.1329;
63.8564;65.3525;62.1059;2.69376e-18;5.91019e-18;1.30301e-16;0.200132;0.437583;-0.273307;3.57786e-18;2.17263e-18;2.2418e-17;0.0198052;1.11523;-1.13504;-7.08491e-20;3.52667e-18;9.02653e-17;17.5393;
64.4988;65.8998;62.6521;-2.69398e-18;6.2856e-18;6.5121e-17;0.212167;0.431335;-0.275787;-1.8236e-18;1.93938e-18;2.94861e-17;0.0655927;1.09263;-1.15823;-1.06004e-18;3.98401e-18;6.5423e-17;17.9458;
64.958;66.2672;63.0216;5.65612e-18;2.57358e-18;-7.0277e-18;0.222957;0.424533;-0.277495;4.63941e-18;-9.5102e-19;1.60916e-17;0.109025;1.07005;-1.17908;1.67059e-18;2.7761e-18;2.68597e-17;18.3516;
65.2315;66.4526;63.2117;3.70448e-18;-1.99891e-18;-3.98366e-17;0.232477;0.417176;-0.278423;1.4083e-18;-3.26483e-18;-1.08706e-17;0.150068;1.04767;-1.19774;2.1578e-18;5.05552e-19;-2.85037e-18;18.756;
65.3173;66.454;63.2199;-5.30579e-19;2.66482e-18;-8.17407e-17;0.240708;0.409263;-0.278559;-1.8192e-18;1.47501e-18;-1.7328e-17;0.188719;1.02564;-1.21436;7.88564e-19;1.23039e-18;-3.19488e-17;19.1584;
65.2135;66.2698;63.0444;8.9742e-19;-2.38982e-18;-1.02302e-16;0.247633;0.400793;-0.277897;7.83217e-20;-2.43478e-18;6.6836e-18;0.225008;1.00411;-1.22912;6.97752e-19;-3.19195e-19;-5.27651e-17;19.5577;
64.9189;65.8987;62.6833;-1.92065e-19;-9.91674e-18;-1.05193e-16;0.253239;0.391765;-0.27643;-5.88523e-19;-6.39637e-18;-2.75313e-18;0.258986;0.983186;-1.24217;2.55642e-19;-3.79253e-18;-6.33149e-17;19.9532;
64.4324;65.3397;62.1354;3.93961e-18;-4.16829e-18;-1.19609e-16;0.257515;0.382177;-0.274154;2.41973e-18;-2.70122e-19;-8.11201e-19;0.290722;0.962952;-1.25367;1.54976e-18;-3.30894e-18;-7.33803e-17;20.3439;
63.7531;64.5918;61.3995;2.94305e-18;-7.51491e-18;-1.04264e-16;0.260453;0.372028;-0.271063;9.08325e-19;-2.73351e-18;-1.66286e-18;0.320298;0.94348;-1.26378;1.79719e-18;-4.27691e-18;-7.25644e-17;20.729;
62.8804;63.6545;60.4747;8.0672e-19;-4.76615e-18;-1.81122e-16;0.262048;0.361317;-0.267157;-6.14995e-19;-3.35748e-19;-8.95608e-18;0.347804;0.924822;-1.27263;1.16373e-18;-3.76827e-18;-9.9117e-17;21.1073;
